Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1032811,-113821,-107764,40509,317099,166302,-113959,227918,-118352,-114013,66576,233060,40275
1032812,-113795,-107767,40475,317050,166242,-113950,227915,-118372,-114002,66568,232959,40243
1032813,-113825,-107795,40426,317052,166175,-113986,227835,-118414,-114042,66524,232971,40190
1032814,-113862,-107811,40402,317012,166117,-114046,227698,-118431,-114098,66461,233044,40172
1032815,-113887,-107839,40378,316925,166097,-114047,227627,-118452,-114099,66433,233027,40144
1032816,-113935,-107870,40342,316827,166037,-114033,227643,-118444,-114088,66463,232941,40108
1032817,-113983,-107890,40345,316818,166116,-114064,227566,-118461,-114118,66409,232791,40113
1032818,-114015,-107893,40354,316809,166122,-114085,227577,-118476,-114139,66381,232741,40122
1032819,-114052,-107904,40336,316774,166053,-114087,227595,-118488,-114138,66339,232777,40102
1032820,-114049,-107900,40317,316761,166032,-114098,227611,-118492,-114153,66285,232811,40085
1032821,-114039,-107893,40327,316752,165994,-114096,227688,-118493,-114150,66283,232846,40095
1032822,-114017,-107881,40324,316797,165950,-114108,227741,-118486,-114159,66244,232921,40091
1032823,-113998,-107870,40292,316842,165980,-114086,227783,-118477,-114139,66291,232967,40056
1032824,-113970,-107852,40276,316811,166043,-114030,227785,-118433,-114082,66306,232980,40043
1032825,-113942,-107848,40256,316766,166022,-114007,227816,-118376,-114057,66350,233054,40023
1032826,-113925,-107838,40270,316775,165949,-113961,227833,-118336,-114014,66398,233147,40036
1032827,-113890,-107824,40324,316816,165939,-113943,227821,-118296,-113993,66501,233190,40093
1032828,-113891,-107815,40382,316875,166026,-113923,227788,-118292,-113976,66554,233207,40148
1032829,-113908,-107820,40419,316940,166129,-113913,227779,-118280,-113967,66606,233194,40189
1032830,-113896,-107846,40399,316973,166172,-113921,227831,-118309,-113977,66614,233175,40169
1032831,-113886,-107849,40427,317024,166202,-113958,227836,-118345,-114012,66588,233082,40193
1032832,-113907,-107856,40448,317105,166152,-114015,227839,-118396,-114066,66521,233042,40216
1032833,-113921,-107864,40410,317088,166099,-114030,227793,-118438,-114084,66452,233005,40177
1032834,-113944,-107883,40370,317034,166028,-114061,227742,-118458,-114114,66447,232934,40134
1032835,-113976,-107901,40307,316936,166043,-114074,227692,-118463,-114124,66465,232837,40075
1032836,-113987,-107905,40265,316792,166137,-114072,227583,-118489,-114126,66432,232813,40032
1032837,-113993,-107897,40267,316662,166145,-114112,227495,-118488,-114166,66336,232844,40031
1032838,-114014,-107897,40272,316630,166152,-114138,227501,-118503,-114194,66278,232872,40037
1032839,-114036,-107911,40267,316696,166134,-114173,227478,-118491,-114229,66269,232759,40034
1032840,-114046,-107939,40253,316755,166109,-114161,227475,-118494,-114213,66287,232741,40020
1032841,-114040,-107928,40284,316844,166032,-114140,227544,-118501,-114195,66297,232761,40052
1032842,-114012,-107929,40302,316857,166081,-114123,227565,-118498,-114178,66263,232755,40068
1032843,-113999,-107927,40320,316900,166148,-114117,227502,-118489,-114170,66300,232808,40088
1032844,-113998,-107901,40315,316979,166142,-114084,227527,-118466,-114138,66338,232840,40083
1032845,-113982,-107894,40314,317030,166134,-114069,227556,-118426,-114122,66377,232901,40079
1032846,-113948,-107896,40292,317044,166180,-114015,227567,-118371,-114070,66441,232931,40054
1032847,-113905,-107893,40301,317012,166264,-114004,227649,-118390,-114058,66469,233048,40068
1032848,-113854,-107871,40324,316935,166305,-114004,227639,-118379,-114053,66518,233156,40088
1032849,-113805,-107853,40344,316892,166266,-113961,227673,-118353,-114011,66550,233200,40111
1032850,-113790,-107827,40366,316907,166223,-113949,227720,-118332,-113999,66590,233152,40132
1032851,-113788,-107837,40352,316864,166206,-113989,227732,-118318,-114042,66583,233122,40118
1032852,-113798,-107838,40352,316882,166209,-114041,227635,-118324,-114095,66530,233089,40118
1032853,-113832,-107852,40337,316912,166179,-114098,227536,-118339,-114151,66437,233009,40102
1032854,-113871,-107882,40310,316947,166168,-114159,227591,-118380,-114215,66354,232915,40075
1032855,-113924,-107914,40277,316930,166080,-114191,227654,-118426,-114244,66286,232893,40043
1032856,-114042,-107930,40244,316872,166038,-114148,227693,-118435,-114200,66269,232852,40010
1032857,-114107,-107939,40199,316792,166008,-114114,227675,-118463,-114167,66266,232830,39965
1032858,-114109,-107943,40198,316739,165965,-114120,227639,-118466,-114175,66248,232827,39966
1032859,-114060,-107951,40187,316745,165965,-114131,227620,-118473,-114187,66236,232740,39950
1032860,-114044,-107958,40175,316692,165931,-114110,227643,-118452,-114160,66274,232665,39942
1032861,-114054,-107944,40186,316692,165880,-114104,227713,-118459,-114155,66323,232725,39956
1032862,-114037,-107939,40191,316706,165862,-114106,227776,-118461,-114158,66303,232814,39959
1032863,-114026,-107956,40164,316719,165975,-114105,227786,-118462,-114156,66335,232864,39932
1032864,-113961,-107949,40183,316765,166020,-114092,227804,-118458,-114148,66384,232902,39950
1032865,-113914,-107934,40200,316818,166046,-114087,227797,-118448,-114142,66404,232926,39965
1032866,-113878,-107926,40214,316827,166065,-114063,227824,-118397,-114117,66443,232955,39981
1032867,-113844,-107901,40252,316843,166057,-114014,227826,-118349,-114064,66510,232996,40020
1032868,-113800,-107886,40298,316821,166124,-114001,227761,-118326,-114056,66525,233055,40063
1032869,-113747,-107862,40365,316849,166233,-114009,227715,-118324,-114066,66512,233073,40131
1032870,-113769,-107862,40355,316816,166227,-113987,227829,-118302,-114042,66512,233053,40119
1032871,-113794,-107880,40301,316818,166171,-113980,227919,-118310,-114034,66508,233036,40066
1032872,-113834,-107879,40246,316782,166140,-113990,227941,-118321,-114045,66483,233026,40012
1032873,-113872,-107881,40167,316735,166018,-114009,227908,-118342,-114063,66478,233033,39932
1032874,-113906,-107899,40128,316753,165964,-114044,227767,-118389,-114097,66427,233081,39897
1032875,-113950,-107940,40117,316731,165971,-114086,227654,-118436,-114140,66385,233111,39888
1032876,-114001,-107973,40119,316742,165977,-114104,227585,-118454,-114154,66398,233076,39885
1032877,-114026,-107988,40128,316792,165866,-114098,227509,-118455,-114154,66367,233011,39895
1032878,-114004,-107997,40125,316801,165847,-114102,227484,-118448,-114157,66360,232913,39892
1032879,-114005,-108027,40097,316695,165762,-114113,227562,-118451,-114163,66365,232927,39864
1032880,-113999,-108033,40102,316685,165745,-114131,227621,-118477,-114185,66344,232921,39869
1032881,-114005,-108019,40118,316692,165843,-114130,227699,-118466,-114180,66326,232849,39885
1032882,-113947,-108010,40114,316619,165978,-114152,227735,-118473,-114203,66297,232898,39883
1032883,-113912,-107985,40114,316645,166022,-114172,227766,-118469,-114223,66277,232963,39880
1032884,-113884,-107960,40131,316689,166092,-114177,227798,-118482,-114232,66251,232991,39898
1032885,-113844,-107940,40135,316754,166175,-114150,227798,-118444,-114203,66298,232909,39902
1032886,-113802,-107898,40161,316830,166262,-114125,227758,-118429,-114178,66326,232871,39925
1032887,-113767,-107869,40155,316882,166291,-114108,227792,-118395,-114161,66379,232878,39919
1032888,-113756,-107843,40197,316900,166296,-114092,227853,-118382,-114148,66437,232869,39963
1032889,-113701,-107806,40215,316915,166242,-114092,227901,-118336,-114146,66475,232849,39982
1032890,-113682,-107783,40224,316981,166189,-114102,227930,-118309,-114156,66450,232790,39989
1032891,-113712,-107803,40274,317038,166108,-114108,227897,-118326,-114161,66446,232822,40040
1032892,-113753,-107812,40299,317024,166063,-114127,227819,-118346,-114179,66438,232825,40066
1032893,-113810,-107835,40302,316914,166063,-114168,227751,-118387,-114222,66398,232881,40071
1032894,-113858,-107847,40349,316789,165999,-114172,227642,-118399,-114227,66360,232922,40115
1032895,-113886,-107879,40342,316700,165949,-114186,227614,-118460,-114238,66346,232946,40109
1032896,-113907,-107889,40340,316666,165854,-114194,227538,-118510,-114248,66335,232967,40103
1032897,-113954,-107927,40326,316634,165871,-114222,227532,-118551,-114275,66308,232970,40091
1032898,-113968,-107946,40279,316638,165889,-114237,227528,-118550,-114289,66283,232903,40044
1032899,-113984,-107949,40280,316671,165864,-114220,227525,-118541,-114274,66264,232813,40047
1032900,-113999,-107948,40293,316724,165921,-114220,227487,-118567,-114272,66221,232781,40058
1032901,-113981,-107946,40333,316811,166048,-114212,227500,-118569,-114265,66142,232737,40101
1032902,-113976,-107921,40348,316886,166115,-114203,227521,-118567,-114259,66109,232716,40114
1032903,-113972,-107898,40361,316931,166190,-114206,227597,-118567,-114257,66118,232698,40130
1032904,-113917,-107866,40379,316918,166164,-114182,227649,-118532,-114233,66165,232712,40146
1032905,-113852,-107830,40401,316898,166174,-114164,227656,-118522,-114219,66174,232746,40165
1032906,-113822,-107798,40419,316870,166296,-114140,227610,-118498,-114192,66200,232779,40184
1032907,-113822,-107778,40448,316910,166372,-114124,227535,-118480,-114177,66279,233000,40214
1032908,-113884,-107764,40467,316985,166366,-114081,227571,-118443,-114138,66352,233017,40236
1032909,-113878,-107749,40488,317052,166335,-114047,227654,-118417,-114104,66442,232964,40256
1032910,-113844,-107747,40506,317081,166303,-114091,227722,-118446,-114145,66455,232992,40271
1032911,-113858,-107753,40505,317113,166338,-114105,227755,-118466,-114160,66441,232892,40273
1032912,-113866,-107755,40501,317103,166282,-114129,227787,-118480,-114181,66385,232783,40266
1032913,-113877,-107781,40507,317100,166193,-114181,227728,-118512,-114233,66275,232793,40272
1032914,-113909,-107813,40454,317025,166094,-114209,227659,-118550,-114264,66254,232880,40223
1032915,-113985,-107839,40421,316943,166012,-114224,227616,-118576,-114277,66259,232956,40189
1032916,-114042,-107868,40395,316898,165948,-114249,227606,-118585,-114300,66254,232957,40163
1032917,-114114,-107882,40395,316848,165944,-114263,227549,-118611,-114312,66249,232949,40165
1032918,-114083,-107891,40357,316827,165967,-114271,227390,-118627,-114323,66260,232998,40126
1032919,-114058,-107912,40310,316787,165948,-114305,227390,-118647,-114359,66258,233003,40078
1032920,-114035,-107910,40309,316789,165948,-114319,227463,-118644,-114370,66201,232931,40077
1032921,-113981,-107882,40326,316795,165987,-114305,227486,-118625,-114356,66183,232885,40094
1032922,-113964,-107875,40361,316818,166036,-114271,227521,-118610,-114323,66166,232812,40131
1032923,-113934,-107861,40392,316847,166068,-114262,227605,-118600,-114313,66199,232731,40159
1032924,-113925,-107862,40456,316916,166062,-114241,227666,-118588,-114295,66252,232685,40223
1032925,-113894,-107873,40484,316950,166033,-114190,227698,-118549,-114241,66321,232700,40251
1032926,-113876,-107860,40503,317001,166049,-114170,227695,-118524,-114223,66336,232769,40270
1032927,-113835,-107844,40501,316988,166095,-114129,227696,-118491,-114182,66397,232837,40267
1032928,-113785,-107829,40487,316971,166157,-114108,227722,-118457,-114159,66396,232941,40255
1032929,-113791,-107813,40508,317040,166194,-114107,227729,-118448,-114159,66383,233035,40270
1032930,-113754,-107778,40509,317113,166217,-114138,227713,-118446,-114191,66377,232983,40273
1032931,-113764,-107795,40501,317099,166229,-114143,227703,-118455,-114197,66370,232945,40268
1032932,-113794,-107810,40488,316987,166122,-114167,227726,-118464,-114218,66304,233024,40256
1032933,-113797,-107824,40473,316944,166016,-114198,227661,-118505,-114253,66257,233020,40234
1032934,-113810,-107824,40497,316935,165956,-114216,227535,-118539,-114271,66273,232868,40263
1032935,-113899,-107864,40451,316857,165862,-114195,227485,-118543,-114247,66341,232858,40218
1032936,-113980,-107888,40403,316773,165846,-114176,227379,-118528,-114231,66366,232893,40171
1032937,-114014,-107897,40383,316761,165870,-114214,227327,-118564,-114267,66317,232888,40148
1032938,-114038,-107908,40327,316731,166000,-114249,227380,-118607,-114303,66232,232836,40090
1032939,-114030,-107926,40304,316728,166032,-114297,227449,-118640,-114350,66198,232747,40071
1032940,-114043,-107944,40349,316796,166081,-114313,227469,-118637,-114365,66159,232674,40116
1032941,-114048,-107938,40363,316870,166119,-114341,227489,-118635,-114392,66145,232709,40127
1032942,-114030,-107930,40346,316872,166153,-114311,227521,-118639,-114368,66149,232746,40110
1032943,-114018,-107917,40308,316890,166122,-114250,227584,-118597,-114304,66185,232774,40075
1032944,-113970,-107908,40335,316878,166071,-114165,227599,-118579,-114218,66213,232791,40100
1032945,-113927,-107871,40369,316913,166028,-114103,227564,-118544,-114154,66235,232831,40133
1032946,-113899,-107864,40460,316904,166080,-114106,227594,-118535,-114163,66268,232880,40223
1032947,-113908,-107865,40509,316903,166184,-114118,227667,-118512,-114172,66365,232901,40274
1032948,-113913,-107848,40524,316936,166220,-114091,227702,-118485,-114144,66432,232922,40293
1032949,-113873,-107842,40559,316973,166265,-114094,227721,-118481,-114148,66405,232911,40326
