timestamp,LAz_angle,LEl_angle,RAz_angle,REl_angle
1039523,-22.306685891717734,1.5119896673613766,-83.51235698237542,3.483494026567314
1039524,-21.335057956721926,-0.32706353803928323,-81.90533168790444,2.5305671556643574
1039525,-21.35659048968273,-0.5745347646095524,-84.90923383036534,4.319258601925867
1039526,-21.742251887158204,-0.4396479050301423,-89.29993487073352,6.387690540403128
1039527,-22.088512961961328,-0.08996362048969786,-88.85621825737417,5.78657086448311
1039528,-22.104540760441182,-0.26232238782085915,-86.82779538911018,3.9052581668420316
1039529,-21.937491021164533,-0.3609420806230901,-84.09517860225333,2.236488535151693
1039530,-21.90865973765858,-0.4785774931247033,-85.98071442942455,3.048616044564369
1039531,-22.014058977849345,-0.5487161867072246,-87.96483129129592,4.144480918575027
1039532,-21.93268964725098,-0.6520727539696054,-88.28173653672457,4.162537183985478
1039533,-22.091694694482385,-0.46585696501915663,-88.74435635415921,4.637840005460021
1039534,-22.073253533583852,-0.2286056705243027,-86.74826924325498,3.8613038680878162
1039535,-22.33354387583381,0.24290823802311934,-84.69238043186033,3.1325792384950546
1039536,-22.642233915271845,0.8224334270371401,-84.15610018959978,2.9069868668420895
1039537,-22.811839080994673,1.165083126866648,-84.63434280320325,3.4585226752187737
1039538,-23.05040679250783,1.7807569603062348,-85.8964622009853,4.167722887666969
1039539,-23.256514772634432,1.83598605414727,-86.00305699551245,4.2496836394402635
1039540,-22.742238166272955,1.6494372568315612,-85.38312866003889,4.328666256050383
1039541,-22.73697312417255,1.337641664378907,-87.11630361901643,5.224696361608039
1039542,-22.619095219450287,0.8647767242821374,-87.91683036050927,5.05415706722124
1039543,-22.628230824476304,0.756791193198751,-86.79092885194314,4.322218012803205
1039544,-22.510424371506133,0.7204601198241107,-84.51499482564941,2.977089761762727
1039545,-23.097340395112838,1.3216466734027108,-85.1825170037946,2.848387326072043
1039546,-23.642823297949462,1.9564686377816543,-87.94028999929651,4.043500071838935
1039547,-23.746191815798284,1.8521894227758366,-88.22561907106592,4.004763654771523
1039548,-23.626084028839387,1.3703017402121986,-88.77418024653798,3.894149551695591
1039549,-23.638428400001203,1.0933568149878283,-89.16551854462068,3.9487224002659786
1039550,-23.683225951431268,1.0050895263298116,-87.66539260762602,2.698200151357014
1039551,-23.60206366678824,0.8634133404320892,-86.6359459153482,1.921545105592486
1039552,-23.172750946359656,0.4865662525487551,-85.12696944060644,1.317498450707717
1039553,-23.10520246740259,0.2608438331403704,-85.66654015649328,1.5799638392718407
1039554,-23.337971815246306,0.5347418618482607,-87.68812125783279,2.941255093097425
1039555,-23.789349491499934,1.0680504686984023,-88.73158834418246,3.474356906426692
1039556,-24.111940103221173,1.6397992780764525,-87.60132034468734,3.257217335313726
1039557,-23.563089053673934,1.5969649584819763,-85.79346658077884,2.836057181034448
1039558,-23.297785933105843,1.686162634258153,-84.29340407941527,2.39804080884187
1039559,-23.30385131332889,1.7131652412133462,-83.91509318742646,2.392061616597857
1039560,-23.744262016586276,1.711255554465879,-87.23445703830384,3.6067589371450595
1039561,-23.945280696548252,1.4241145922824217,-91.06388094352224,5.354296053966209
1039562,-23.744440657272435,0.6928754743596528,-94.93751295310722,7.303476466507163
1039563,-23.37470064601132,0.18426432989758723,-96.15123365843647,8.099599725778717
1039564,-22.99684835673247,0.03728675447405294,-94.67785831171386,6.981165958742167
1039565,-22.742618334408917,0.016009151802563792,-89.97052248818454,4.118567097103551
1039566,-22.6930992387139,0.11781764953320817,-88.29577581278863,3.1751698843418126
1039567,-23.039448327666946,0.2718726500613684,-88.31154003409847,2.8174201319588974
1039568,-23.545160231892737,0.38488241298932735,-89.21423210133435,2.888507335432223
1039569,-23.65124864658833,0.7352306642596886,-89.04042488704545,2.4748104213222177
1039570,-24.066108723148318,1.295622012480635,-87.91932048882882,1.7793099883601826
1039571,-24.50599067027133,1.7436159893100012,-87.87727006142723,1.5477732283025034
1039572,-23.972682080742175,1.4439507696552027,-87.60073499256487,1.987883826781399
1039573,-23.414178725119655,1.2991061312018246,-87.09384035704807,2.205381894389575
1039574,-23.246531470564378,1.0791051070495996,-89.0329887475209,3.5858024091094194
1039575,-23.310967260367534,1.372383438075076,-90.85374679198412,5.451185746028386
1039576,-23.421697207217903,1.8080162254054812,-89.86888299891325,5.249446341589646
1039577,-23.493540530293444,1.7537779093220252,-88.7812368739178,4.9506025095352015
1039578,-23.223887501971376,1.5831739178904627,-88.53142889824085,5.1247930187419115
1039579,-23.69377777394493,2.08737310998913,-91.7298682719238,7.122885782506273
1039580,-24.003796645538387,2.3125428561613717,-94.81011399955514,8.953373297503276
1039581,-23.43879191090673,1.9027861748475061,-94.94983174562094,9.204748187015866
1039582,-22.965743280787365,1.6828392876495855,-92.39542597989748,7.54249521935526
1039583,-22.58837592093539,1.3034342186656431,-87.87688583668933,4.995347088852213
1039584,-22.631443631190905,1.1360626866871826,-89.2536547771715,5.6603104732867
1039585,-22.794767277023197,1.3164220315600232,-87.76614029352913,4.923203730220848
1039586,-22.881485339731626,1.3113776360414704,-87.86123011976451,4.391044171156864
1039587,-23.117120079955498,1.4752204043766142,-88.65636990293842,4.258105749185233
